layer,lora_scaling,effective_start_l2,effective_current_l2,effective_delta_l2,effective_relative_delta
model.layers.25.self_attn.o_proj,2.0,0.7058723182525951,0.7058897973467458,0.00048828125,0.0006917416044997382
model.layers.9.self_attn.o_proj,2.0,0.5996426004654131,0.5996523913134539,0.00048828125,0.0008142871263999925
model.layers.21.self_attn.q_proj,2.0,0.7125067108239808,0.712505790619994,0.00048828125,0.0006853005629032259
model.layers.1.self_attn.o_proj,2.0,0.607366185226586,0.607387529487701,0.00048828125,0.0008039322271750117
model.layers.10.self_attn.q_proj,2.0,0.607248729302438,0.6072493182335925,0.00048828125,0.0008040877262285934
model.layers.14.mlp.down_proj,2.0,0.7734446669737779,0.773439349547978,0.00048828125,0.0006313072813734382
model.layers.15.mlp.down_proj,2.0,0.8257128655621322,0.8257141649033519,0.00048828125,0.0005913450914532934
model.layers.25.self_attn.q_proj,2.0,0.7341165290654272,0.7341757970870754,0.00048828125,0.0006651277156524594
model.layers.0.mlp.down_proj,2.0,0.7117006586415624,0.7117055161017285,0.00048828125,0.0006860767150784888
model.layers.6.self_attn.o_proj,2.0,0.612834792210711,0.612855192270106,0.0004567452864714284,0.0007452992099612804
model.layers.17.self_attn.o_proj,2.0,0.6693667678255563,0.6693711088193885,0.0004567452864714284,0.000682354291288122
model.layers.14.self_attn.q_proj,2.0,0.6037960203571587,0.6038065088968131,0.0004567452864714284,0.0007564562717741224
model.layers.4.self_attn.q_proj,2.0,0.6514970915825333,0.6514891548864273,0.0004567452864714284,0.0007010703384138848
model.layers.4.self_attn.o_proj,2.0,0.6130757807692084,0.6130841175257711,0.0004567452864714284,0.0007450062468596677
model.layers.21.self_attn.k_proj,2.0,0.5306008524168567,0.530563359538809,0.0004567452864714284,0.0008608076756586039
model.layers.11.self_attn.q_proj,2.0,0.5647594584229817,0.5647792731876169,0.0004567452864714284,0.0008087430492033387
model.layers.15.self_attn.o_proj,2.0,0.6899093760879951,0.689918857862035,0.0004567452864714284,0.0006620366417707192
model.layers.16.self_attn.q_proj,2.0,0.6267014946246673,0.6266687288867553,0.0004228639666916204,0.0006747454255632093
model.layers.26.self_attn.q_proj,2.0,0.7462022313048069,0.746205066944772,0.0004228639666916204,0.0005666881563087821
model.layers.23.self_attn.o_proj,2.0,0.7543379975403822,0.754330767557071,0.0004228639666916204,0.0005605762510577801
model.layers.22.self_attn.q_proj,2.0,0.700396627218523,0.7003879893860211,0.0004228639666916204,0.0006037492904141117
model.layers.0.self_attn.o_proj,2.0,0.5683227212629217,0.568335096751784,0.0004228639666916204,0.0007440560633436155
model.layers.0.self_attn.q_proj,2.0,0.6326975776964837,0.632668843858843,0.0004228639666916204,0.0006683508544969897
model.layers.20.self_attn.o_proj,2.0,0.6628566339844949,0.6628573983114436,0.0004228639666916204,0.0006379418188058924
model.layers.22.self_attn.o_proj,2.0,0.7713779810685739,0.7713780969740867,0.0004228639666916204,0.0005481929444055892
model.layers.2.self_attn.o_proj,2.0,0.7076916639917533,0.7077108246994598,0.0004228639666916204,0.0005975257138206845
model.layers.22.self_attn.v_proj,2.0,0.45379065257940954,0.4537951348190638,0.00040486142460393064,0.0008921766508469085
model.layers.23.self_attn.v_proj,2.0,0.46843864909025396,0.46845288397102497,0.00040486142460393064,0.0008642784394289509
model.layers.16.self_attn.k_proj,2.0,0.4297424628044505,0.4297282633085899,0.00040486142460393064,0.000942102444244981
model.layers.27.self_attn.k_proj,2.0,0.5530680266095667,0.5531106214216964,0.0003860202221885229,0.0006979615591863356
model.layers.7.self_attn.k_proj,2.0,0.44445685114365596,0.44445654940346246,0.0003860202221885229,0.0008685212550897424
model.layers.23.self_attn.k_proj,2.0,0.5228404155422179,0.5228638138473912,0.0003860202221885229,0.0007383136626654922
model.layers.11.self_attn.v_proj,2.0,0.3712178675235394,0.37123316103704124,0.0003860202221885229,0.0010398751136730907
model.layers.0.self_attn.v_proj,2.0,0.43766129449608554,0.43766129449608554,0.0003860202221885229,0.0008820067642330101
model.layers.1.self_attn.v_proj,2.0,0.38781486608873156,0.38782819877529445,0.0003860202221885229,0.0009953724210773343
model.layers.10.self_attn.k_proj,2.0,0.39949508628640223,0.39950832756205173,0.0003860202221885229,0.0009662702632386845
model.layers.5.self_attn.k_proj,2.0,0.5085147110659318,0.5085093485330149,0.0003860202221885229,0.0007591131854953813
model.layers.27.self_attn.v_proj,2.0,0.6355902846317059,0.6354959131029895,0.0003860202221885229,0.0006073412881258925
model.layers.20.self_attn.k_proj,2.0,0.5086215689883944,0.5085830417800777,0.0003860202221885229,0.0007589537009928319
model.layers.19.self_attn.v_proj,2.0,0.46507478630447746,0.46508090597199475,0.0003860202221885229,0.000830017523108211
