reward_call_index,case_id,max_correct_reward,max_wrong_reward,mean_correct_reward,mean_wrong_reward
6,in_abs_train_1462,0.5595238095238096,0.10727380952380952,0.5176954887218045,0.10727380952380952
6,in_abs_train_2221,0.4749999999999999,0.26441666666666663,0.4326249999999999,0.15554166666666666
6,in_abs_train_337,0.7833333333333332,0.36666666666666664,0.673875,0.32387499999999997
6,in_abs_train_4514,0.5827499999999999,0.2386590909090909,0.5037931235431236,0.2037814685314685
6,in_abs_train_6435,0.5727499999999999,0.19775,0.5203166666666666,0.14572222222222223
6,sc_2003_insc_216,0.49774999999999997,0.15,0.4318333333333333,0.06865
6,sc_2009_insc_372,0.52,0.16999999999999998,0.513875,0.16943750000000002
6,sc_2013_insc_365,0.39999999999999997,0.05,0.3985,0.04820000000000001
6,sc_2019_insc_1039,0.49774999999999997,0.12275,0.4318333333333333,0.07365909090909091
6,sc_2019_insc_1300,0.5650576923076922,0.15775,0.483889423076923,0.08678846153846154
6,sc_2019_insc_647,0.39999999999999997,0.04775000000000001,0.39865,0.04775000000000001
6,sc_2022_insc_765,0.5377500000000001,0.16775,0.46081249999999996,0.12063933982683983
7,in_abs_train_3457,0.49999999999999994,0.125,0.43454999999999994,0.07350000000000001
7,in_abs_train_3657,0.5827499999999999,0.1950227272727273,0.5827499999999999,0.14102522477522478
7,sc_1970_insc_123,0.49844930069930066,0.16775,0.45515399184149186,0.099
7,sc_1971_insc_312,0.39775,0.05,0.39775,0.04850000000000001
7,sc_1976_insc_77,0.44390384615384615,0.05,0.431279532967033,0.04887500000000001
7,sc_1986_insc_201,0.5750432330827068,0.16073701298701298,0.5291816629485802,0.16073701298701298
7,sc_1996_insc_1109,0.39999999999999997,0.22499999999999998,0.39999999999999997,0.08767857142857143
7,sc_2006_insc_728,0.5653970588235293,0.22917857142857143,0.4826937327378503,0.09366964285714285
7,sc_2007_insc_862,0.39999999999999997,0.04775000000000001,0.3985,0.04775000000000001
7,sc_2021_insc_586,0.6144166666666666,0.04775000000000001,0.43759523809523804,0.04775000000000001
8,in_abs_train_3373,0.5375,0.09060714285714286,0.48600000000000004,0.08792857142857144
8,sc_1968_insc_174,0.6583333333333333,0.3232142857142857,0.55965,0.2625436507936508
8,sc_1980_insc_159,0.61,0.1950227272727273,0.5248636363636363,0.11650909090909092
8,sc_1993_insc_263,0.39999999999999997,0.19775,0.3983125,0.12275000000000001
8,sc_1996_insc_1260,0.39775,0.04775000000000001,0.39775,0.04775000000000001
8,sc_1996_insc_1444,0.52,0.10775000000000001,0.4582564935064935,0.10775000000000001
8,sc_1997_insc_292,0.4776223776223776,0.17991783216783216,0.46229851398601396,0.12648432817182817
8,sc_2001_insc_414,0.39999999999999997,0.04775000000000001,0.39924999999999994,0.04775000000000001
8,sc_2007_insc_922,0.44775,0.04775000000000001,0.4068333333333333,0.04775000000000001
8,sc_2007_insc_929,0.39999999999999997,0.14775,0.39865,0.10108333333333334
8,sc_2009_insc_142,0.54775,0.19775,0.47707142857142854,0.07775000000000001
8,sc_2016_insc_244,0.5060833333333332,0.26666666666666666,0.4388666666666666,0.13707828282828283
9,in_abs_train_3905,0.7052499999999999,0.34775,0.6059015151515152,0.244553125
9,in_abs_train_4044,0.5499999999999999,0.125,0.436375,0.08637500000000001
9,in_abs_train_6501,0.6477499999999999,0.24615384615384617,0.5624857142857143,0.12817032967032968
9,sc_1964_insc_5,0.620826923076923,0.32082692307692307,0.576333916083916,0.21400495337995337
9,sc_1988_insc_266,0.6177499999999999,0.31775,0.5589621212121211,0.22611608391608393
9,sc_1996_insc_604,0.48571428571428565,0.2334642857142857,0.47714285714285704,0.1104047619047619
9,sc_1997_insc_191,0.6227499999999999,0.2,0.5189583333333333,0.173875
9,sc_1999_insc_98,0.7265227272727272,0.05,0.5845692640692639,0.048875
9,sc_2006_insc_857,0.45229545454545456,0.10454545454545455,0.4250227272727273,0.08410606060606061
9,sc_2011_insc_131,0.47274999999999995,0.14775,0.4235,0.0991
9,sc_2015_insc_764,0.5636363636363636,0.15684090909090906,0.5264943181818181,0.12673601398601397
9,sc_2016_insc_305,0.39999999999999997,0.04775000000000001,0.398125,0.04775000000000001
10,in_abs_train_2824,0.52,0.16775,0.5134204545454546,0.095125
10,in_abs_train_6217,0.39775,0.04775000000000001,0.39775,0.04775000000000001
10,in_abs_train_6877,0.39999999999999997,0.05,0.3983125,0.04387500000000001
10,sc_1954_insc_39,0.6627499999999998,0.32774999999999993,0.5683717948717949,0.23108515734265733
10,sc_1992_insc_244,0.39999999999999997,0.05,0.398125,0.048875
10,sc_2000_insc_96,0.48941666666666667,0.13941666666666666,0.4390176282051282,0.0936650641025641
10,sc_2004_insc_131,0.61,0.22142857142857142,0.5120625,0.16217532467532467
10,sc_2008_insc_710,0.4749999999999999,0.15,0.4170625,0.11012500000000001
10,sc_2011_insc_616,0.6666666666666667,0.2,0.5146160714285715,0.11914583333333334
10,sc_2013_insc_788,0.5214285714285714,0.05,0.46873809523809523,0.05
10,sc_2017_insc_1073,0.54775,0.2,0.44849999999999995,0.16909999999999997
10,sc_2019_insc_805,0.6314285714285715,0.22104545454545454,0.5529965867465867,0.1743977272727273
11,in_abs_train_5070,0.5977499999999999,0.31858333333333333,0.5491785714285713,0.26651767676767674
11,sc_1959_1_1384_1403_en,0.5177499999999999,0.05,0.4529134615384615,0.04831250000000001
11,sc_1987_insc_70,0.39775,0.11666666666666667,0.39775,0.06198333333333335
