step,allowed,dismissed,unknown,dismissed_minus_allowed
59,0.46875,0.53125,0.0,0.0625
60,0.59375,0.40625,0.0,-0.1875
61,0.5520833333333334,0.4479166666666667,0.0,-0.10416666666666669
62,0.4895833333333333,0.5104166666666666,0.0,0.020833333333333315
63,0.4895833333333333,0.5,0.010416666666666666,0.010416666666666685
64,0.5729166666666666,0.4270833333333333,0.0,-0.14583333333333331
65,0.4895833333333333,0.5104166666666666,0.0,0.020833333333333315
66,0.4895833333333333,0.5104166666666666,0.0,0.020833333333333315
67,0.40625,0.5833333333333334,0.010416666666666666,0.17708333333333337
68,0.5,0.5,0.0,0.0
69,0.53125,0.4375,0.03125,-0.09375
70,0.46875,0.53125,0.0,0.0625
71,0.46875,0.53125,0.0,0.0625
72,0.4791666666666667,0.5208333333333334,0.0,0.041666666666666685
73,0.40625,0.59375,0.0,0.1875
74,0.53125,0.46875,0.0,-0.0625
75,0.4791666666666667,0.5,0.020833333333333332,0.020833333333333315
76,0.5625,0.4375,0.0,-0.125
77,0.3645833333333333,0.6145833333333334,0.020833333333333332,0.25000000000000006
78,0.4791666666666667,0.5104166666666666,0.010416666666666666,0.031249999999999944
79,0.53125,0.4583333333333333,0.010416666666666666,-0.07291666666666669
80,0.4895833333333333,0.5,0.010416666666666666,0.010416666666666685
81,0.4791666666666667,0.5,0.020833333333333332,0.020833333333333315
82,0.5,0.4895833333333333,0.010416666666666666,-0.010416666666666685
83,0.5833333333333334,0.40625,0.010416666666666666,-0.17708333333333337
84,0.5,0.4895833333333333,0.010416666666666666,-0.010416666666666685
85,0.5729166666666666,0.4270833333333333,0.0,-0.14583333333333331
86,0.5104166666666666,0.4791666666666667,0.010416666666666666,-0.031249999999999944
87,0.5625,0.4270833333333333,0.010416666666666666,-0.13541666666666669
88,0.5104166666666666,0.46875,0.020833333333333332,-0.04166666666666663
89,0.5104166666666666,0.4895833333333333,0.0,-0.020833333333333315
90,0.4791666666666667,0.5104166666666666,0.010416666666666666,0.031249999999999944
91,0.5625,0.4375,0.0,-0.125
92,0.4895833333333333,0.5,0.010416666666666666,0.010416666666666685
93,0.4479166666666667,0.53125,0.020833333333333332,0.08333333333333331
94,0.4166666666666667,0.5729166666666666,0.010416666666666666,0.15624999999999994
95,0.5104166666666666,0.4791666666666667,0.010416666666666666,-0.031249999999999944
96,0.4479166666666667,0.5416666666666666,0.010416666666666666,0.09374999999999994
97,0.5833333333333334,0.40625,0.010416666666666666,-0.17708333333333337
98,0.4270833333333333,0.5729166666666666,0.0,0.14583333333333331
